Quy,Q1,Q2,Q3,Q4,Tang_truong
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,312,046,425,953","5,040,044,969,956",,,
2. Điều chỉnh cho các khoản,,,,,
- Khấu hao TSCĐ và BĐSĐT,"529,307,916,114","1,167,885,350,830",,,
- Các khoản dự phòng,"4,416,470,035","9,132,507,438",,,
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","-10,136,208,614","935,457,762",,,
"- Lãi, lỗ từ hoạt động đầu tư","-308,900,756,248","-655,950,868,119",,,
- Chi phí lãi vay,"82,291,916,805","178,262,554,562",,,
- Các khoản điều chỉnh khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,670,410,792,851","5,740,309,972,429",,,
"- Tăng, giảm các khoản phải thu","-443,861,503,618","218,959,118,902",,,
"- Tăng, giảm hàng tồn kho","-1,251,259,683,318","-960,003,016,947",,,
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","128,549,496,304","-393,224,288,907",,,
"- Tăng, giảm chi phí trả trước","-52,896,323,660","-29,036,768,474",,,
"- Tăng, giảm chứng khoán kinh doanh",,,,,
- Tiền lãi vay đã trả,"-69,373,556,896","-167,514,848,260",,,
- Thuế thu nhập doanh nghiệp đã nộp,"-414,525,307,219","-421,916,595,433",,,
- Tiền thu khác từ hoạt động kinh doanh,,,,,
- Tiền chi khác cho hoạt động kinh doanh,"-438,254,973,999","-527,364,988,038",,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"128,788,940,445","3,460,208,585,272",,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-357,267,370,903","-868,336,396,018",,,
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","22,907,922,254","48,392,267,737",,,
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,"-2,468,710,659,705",,,
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","595,311,888,127",,,,
5.Tiền chi đầu tư góp vốn vào đơn vị khác,"-11,875,000,000","-11,875,000,000",,,
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","225,679,908,509","409,158,362,360",,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"474,757,347,987","-2,891,371,425,626",,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,"338,100,000,000",,,
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,"-142,548,827,636",,,
3.Tiền thu từ đi vay,"4,497,529,706,931","7,730,613,223,699",,,
4.Tiền chi trả nợ gốc vay,"-2,462,185,467,993","-6,251,301,215,169",,,
5.Tiền chi trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-2,925,937,623,000","-2,960,938,689,500",,,
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-890,593,384,062","-1,286,075,508,606",,,
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),"-287,047,095,630","-717,238,348,960",,,
Tiền và tương đương tiền đầu kỳ,"2,299,943,527,624","2,299,943,527,624",,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,"-1,693,920,271","-198,486,457",,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),"2,011,202,511,723","1,582,506,692,207",,,
