Quy,Q1,Q2,Q3,Q4,Tang_truong
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,764,351,623,836","5,340,409,267,585","8,200,292,434,910","10,495,534,676,745",
2. Điều chỉnh cho các khoản,,,,,
- Khấu hao TSCĐ và BĐSĐT,"537,371,734,423","1,179,822,105,048","1,761,139,248,322","2,340,989,973,902",
- Các khoản dự phòng,"-2,758,112,613","-25,876,882,434","-23,367,960,513","-4,572,925,078",
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","13,818,366,371","32,584,304,191","40,931,892,125","3,222,766,873",
"- Lãi, lỗ từ hoạt động đầu tư","19,620,782,982","-525,286,986,439","-810,155,802,816","-1,097,741,303,579",
- Chi phí lãi vay,"26,168,600,367","62,870,242,708","112,812,544,948","166,039,091,744",
- Các khoản điều chỉnh khác,,,,"-70,747,452,470",
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,164,756,998,863","6,064,522,050,659","9,281,652,356,976","11,903,472,280,607",
"- Tăng, giảm các khoản phải thu","-220,757,350,364","-109,253,069,446","35,779,648,552","-288,077,307,677",
"- Tăng, giảm hàng tồn kho","-974,159,283,034","-419,467,685,184","751,149,871,934","851,263,069,739",
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","-734,666,056,911","-1,022,730,178,727","-973,717,323,862","-386,032,574,554",
"- Tăng, giảm chi phí trả trước","-34,688,910,773","-6,771,304,246","-48,397,239,284","-73,120,062,114",
"- Tăng, giảm chứng khoán kinh doanh",,,,,
- Tiền lãi vay đã trả,"-24,349,437,056","-38,208,473,200","-68,409,051,449","-141,304,083,849",
- Thuế thu nhập doanh nghiệp đã nộp,"-475,136,766,140","-788,745,694,158","-793,065,399,736","-1,975,289,763,439",
- Tiền thu khác từ hoạt động kinh doanh,,,,,
- Tiền chi khác cho hoạt động kinh doanh,"-556,210,692,528","-724,553,568,253","-994,924,821,938","-1,063,638,382,197",
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"144,788,502,057","2,954,792,077,445","7,190,068,041,193","8,827,273,176,516",
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-260,736,777,031","-637,487,547,719","-912,623,062,102","-1,456,914,052,616",
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","31,681,656,288","72,929,447,324","105,607,940,176","137,125,557,857",
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,"-3,514,465,835,454",
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","594,783,333,169","2,063,184,348,046","1,520,588,539,285","3,634,715,046,607",
5.Tiền chi đầu tư góp vốn vào đơn vị khác,"-30,900,000,000","-30,900,000,000","-30,900,000,000","-43,175,000,000",
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","234,823,238,963","423,609,079,523","761,897,009,390","1,201,019,963,250",
Lưu chuyển tiền thuần từ hoạt động đầu tư,"569,651,451,389","1,891,335,327,174","1,444,570,426,749","3,472,771,515,098",
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,"338,100,000,000",
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3.Tiền thu từ đi vay,"4,236,765,622,155","4,074,807,307,385","6,183,070,047,738","6,257,530,054,586",
4.Tiền chi trả nợ gốc vay,"-2,692,851,399,800","-3,789,188,275,505","-6,213,821,552,180","-10,789,019,801,789",
5.Tiền chi trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-2,925,937,623,000","-2,978,454,560,250","-8,098,845,400,500","-8,166,899,618,720",
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,382,023,400,645","-2,692,835,528,370","-8,129,596,904,942","-12,360,289,365,923",
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),"-667,583,447,199","2,153,291,876,249","505,041,563,000","-60,244,674,309",
Tiền và tương đương tiền đầu kỳ,"2,348,551,874,348","2,348,551,874,348","2,348,551,874,348","2,348,551,874,348",
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,"-110,294,025","5,653,337,690","14,264,280,166","11,636,327,585",
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),"1,680,858,133,124","4,507,497,088,287","2,867,857,717,514","2,299,943,527,624",
