Quy,Q1,Q2,Q3,Q4,Tang_truong
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"3,358,259,002,978","7,069,639,580,446","10,846,659,370,417","13,518,536,087,024",
2. Điều chỉnh cho các khoản,,,,,
- Khấu hao TSCĐ và BĐSĐT,"67,364,700,041","134,910,149,442","1,921,641,073,599","608,148,574,973",
- Các khoản dự phòng,,"7,786,551,344","5,785,956,625","49,503,861,013",
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","1,003,914,771","-2,329,641,396","-17,139,768,581","637,221,447",
"- Lãi, lỗ từ hoạt động đầu tư","-255,224,496,408","-550,888,040,903","-850,500,279,629","-1,177,792,557,781",
- Chi phí lãi vay,,"79,703,393,120","117,960,610,559","143,818,465,177",
- Các khoản điều chỉnh khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,857,284,664,651","7,872,476,518,002","12,024,406,962,990","15,090,338,709,748",
"- Tăng, giảm các khoản phải thu","-98,128,897,274","-896,942,609,724","-1,053,051,567,135","-714,954,818,416",
"- Tăng, giảm hàng tồn kho","-817,204,595,821","-858,477,314,034","-489,137,479,733","-270,075,299,427",
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","226,768,277,649","-24,842,996,404","130,132,685,301","-212,797,659,741",
"- Tăng, giảm chi phí trả trước","-121,073,448,246","-4,908,810,449","37,543,882,363","23,640,914,247",
"- Tăng, giảm chứng khoán kinh doanh",,,,,
- Tiền lãi vay đã trả,"-47,206,055,606","-90,367,326,659","-188,021,423,672","-212,768,515,107",
- Thuế thu nhập doanh nghiệp đã nộp,"-466,046,765,343","-469,930,503,010","-910,157,317,808","-2,286,330,907,427",
- Tiền thu khác từ hoạt động kinh doanh,,,,,
- Tiền chi khác cho hoạt động kinh doanh,"-654,774,677,678","-718,948,358,696","-994,651,828,269","-1,236,906,523,665",
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,879,641,990,348","4,808,082,087,042","8,557,087,402,053","10,180,169,388,228",
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-387,926,108,738","-673,864,691,878","-933,376,373,295","-1,264,816,995,703",
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","28,572,651,322","63,486,802,534","108,719,107,319","150,342,752,442",
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-1,875,408,172,827","-4,027,145,923,149","-5,236,877,286,941","-4,881,270,877,530",
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,"28,643,554,820","8,845,150,249","31,565,648,327",
5.Tiền chi đầu tư góp vốn vào đơn vị khác,"-8,134,000","-8,134,000","-8,134,000","-8,134,000",
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,"5,914,424,085","5,971,124,085","21,631,584,086",
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","118,860,284,353","221,027,900,776","460,841,908,169","1,140,545,861,067",
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-2,100,316,487,890","-4,381,946,066,812","-5,585,884,504,414","-4,802,010,161,311",
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,"-14,364,328,733","-14,364,328,733","-14,364,328,733",
3.Tiền thu từ đi vay,"960,114,694,496","1,323,994,000,118",,"7,769,144,505,494",
4.Tiền chi trả nợ gốc vay,"-231,397,975,055","-421,484,391,524","4,255,503,588,459","-5,753,602,224,085",
5.Tiền chi trả nợ gốc thuê tài chính,,,"-3,125,177,179,851",,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-1,790,475,448,000","-1,800,157,615,601","-4,412,224,156,061","-7,927,711,544,061",
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,061,758,728,559","-912,012,335,740","-3,296,262,076,186","-5,926,533,591,385",
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),"-1,282,433,226,101","-485,876,315,510","-325,059,178,547","-548,374,364,468",
Tiền và tương đương tiền đầu kỳ,"2,665,194,638,452","2,665,194,638,452","2,665,194,638,452","2,665,194,638,452",
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,"-152,989,692","-66,020,150","-4,253,978,326","-1,530,516,223",
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),"1,379,711,866,875","2,176,667,357,252","2,335,881,481,579","2,111,242,815,581",
